,labels,classes
0,0,dog
1,14,chirping_birds
2,36,vacuum_cleaner
3,19,thunderstorm
4,30,door_wood_knock
5,34,can_opening
6,9,crow
7,22,clapping
8,48,fireworks
9,41,chainsaw
10,47,airplane
11,31,mouse_click
12,17,pouring_water
13,45,train
14,8,sheep
15,15,water_drops
16,46,church_bells
17,37,clock_alarm
18,32,keyboard_typing
19,16,wind
20,25,footsteps
21,4,frog
22,3,cow
23,27,brushing_teeth
24,43,car_horn
25,12,crackling_fire
26,40,helicopter
27,29,drinking_sipping
28,10,rain
29,7,insects
30,26,laughing
31,6,hen
32,44,engine
33,23,breathing
34,20,crying_baby
35,49,hand_saw
36,24,coughing
37,39,glass_breaking
38,28,snoring
39,18,toilet_flush
40,2,pig
41,35,washing_machine
42,38,clock_tick
43,21,sneezing
44,1,rooster
45,11,sea_waves
46,42,siren
47,5,cat
48,33,door_wood_creaks
49,13,crickets
